Xcases,Ycases,Xdeaths,Ydeaths
2020/02/29,70.36705948551025,2020/02/29,1.6161616161616337
2020/03/01,69.87698129989076,2020/03/01,2.6936026936027133
2020/03/02,129.91155903853723,2020/03/02,2.6936026936027133
2020/03/03,189.98697662599443,2020/03/03,3.7710437710437645
2020/03/04,219.71838655370448,2020/03/04,3.7710437710437645
2020/03/05,340.3592999142347,2020/03/05,5.925925925925952
2020/03/06,612.6794117246682,2020/03/06,8.619528619528637
2020/03/07,915.1801717996314,2020/03/07,10.774410774410796
2020/03/08,1096.3865809332347,2020/03/08,18.85521885521885
2020/03/09,1126.1996705585552,2020/03/09,18.85521885521885
2020/03/10,1731.691268894101,2020/03/10,33.40067340067341
2020/03/11,2246.395883343237,2020/03/11,47.946127946127945
2020/03/12,2154.8329423295945,2020/03/12,47.946127946127945
2020/03/13,3548.247743598353,2020/03/13,79.73063973063974
2020/03/14,4365.902356459275,2020/03/14,92.12121212121214
2020/03/15,4425.977774046729,2020/03/15,91.04377104377106
2020/03/16,6516.36543496708,2020/03/16,149.22558922558923
2020/03/17,7576.445390315512,2020/03/17,148.6868686868687
2020/03/18,8969.860191584268,2020/03/18,148.14814814814815
